time, lat, lng, course, kts, mph, feet, rate
01:20:51, 18.7839, 98.9630, 1, 168, 193, 1704, 2344
01:21:07, 18.7963, 98.9631, 1, 169, 194, 2300, 1846
01:21:25, 18.8123, 98.9632, 360, 189, 217, 2750, 1324
01:21:41, 18.8255, 98.9630, 359, 208, 239, 3050, 1769
01:22:04, 18.8508, 98.9628, 0, 235, 270, 3900, 2692
01:22:20, 18.8692, 98.9658, 22, 239, 275, 4800, 3265
01:22:38, 18.8824, 98.9779, 52, 234, 269, 5750, 3221
01:22:54, 18.8865, 98.9943, 89, 230, 265, 6625, 3341
01:23:22, 18.8806, 99.0263, 101, 233, 268, 8200, 2948
01:23:52, 18.8745, 99.0612, 100, 251, 289, 9475, 2385
01:24:23, 18.8677, 99.1009, 100, 275, 316, 10625, 2533
01:24:53, 18.8609, 99.1400, 100, 280, 322, 12050, 2732
01:25:19, 18.8545, 99.1756, 103, 285, 328, 13175, 2490
01:25:43, 18.8376, 99.2040, 138, 288, 331, 14125, 2029
01:26:27, 18.7808, 99.2207, 170, 309, 356, 15475, 1460
01:26:58, 18.7352, 99.2287, 170, 342, 394, 15950, 1082
01:27:28, 18.6850, 99.2378, 170, 367, 422, 16575, 1825
01:27:58, 18.6336, 99.2473, 170, 368, 423, 17775, 2050
01:28:28, 18.5845, 99.2564, 170, 377, 434, 18625, 1746
01:28:59, 18.5306, 99.2663, 170, 384, 442, 19550, 1718
01:29:30, 18.4746, 99.2766, 170, 392, 451, 20400, 1833
01:30:02, 18.4163, 99.2873, 170, 394, 453, 21475, 1641
01:30:34, 18.3568, 99.2982, 170, 406, 467, 22150, 1210
01:31:04, 18.3002, 99.3085, 170, 416, 479, 22725, 1225
01:31:34, 18.2411, 99.3198, 168, 424, 488, 23375, 1200
01:32:04, 18.1871, 99.3356, 162, 435, 501, 23925, 1131
01:32:35, 18.1262, 99.3563, 162, 443, 510, 24525, 1549
01:33:05, 18.0660, 99.3764, 162, 440, 506, 25500, 1600
01:33:35, 18.0074, 99.3959, 162, 442, 509, 26125, 1050
01:34:05, 17.9522, 99.4143, 162, 452, 520, 26550, 1275
01:34:35, 17.8893, 99.4354, 162, 449, 517, 27400, 1450
01:35:05, 17.8284, 99.4556, 162, 451, 519, 28000, 1025
